Region,RegionName,StateName,ForecastedDate,ForecastYoYPctChange
Msa,"Anchorage, AK",AK,28/02/2023,11.7
Msa,"Fairbanks, AK",AK,28/02/2023,10
Msa,"Juneau, AK",AK,28/02/2023,12.3
Msa,"Ketchikan, AK",AK,28/02/2023,12.3
Zip,13666,AK,28/02/2023,14.4
Zip,13695,AK,28/02/2023,20.3
Zip,99501,AK,28/02/2023,5.3
Zip,99502,AK,28/02/2023,5.2
Zip,99503,AK,28/02/2023,5.3
Zip,99504,AK,28/02/2023,5.8
Zip,99507,AK,28/02/2023,5.5
Zip,99508,AK,28/02/2023,5.5
Zip,99515,AK,28/02/2023,5.7
Zip,99516,AK,28/02/2023,5.2
Zip,99517,AK,28/02/2023,5.1
Zip,99518,AK,28/02/2023,5.5
Zip,99540,AK,28/02/2023,6.1
Zip,99567,AK,28/02/2023,5.7
Zip,99577,AK,28/02/2023,5.8
Zip,99587,AK,28/02/2023,5.7
Zip,99623,AK,28/02/2023,2.5
Zip,99645,AK,28/02/2023,2.3
Zip,99654,AK,28/02/2023,2.3
Zip,99674,AK,28/02/2023,1.3
Zip,99676,AK,28/02/2023,1.9
Zip,99683,AK,28/02/2023,1.5
Zip,99688,AK,28/02/2023,1.2
Zip,99701,AK,28/02/2023,7.1
Zip,99705,AK,28/02/2023,8
Zip,99709,AK,28/02/2023,7.4
Zip,99712,AK,28/02/2023,8.2
Zip,99714,AK,28/02/2023,7.7
Zip,99801,AK,28/02/2023,12.2
Zip,99824,AK,28/02/2023,12.3
Zip,99901,AK,28/02/2023,12.3
Msa,"Albertville, AL",AL,28/02/2023,18.3
Msa,"Anniston, AL",AL,28/02/2023,17.6
Msa,"Auburn, AL",AL,28/02/2023,16.6
Msa,"Birmingham, AL",AL,28/02/2023,16.5
Msa,"Cullman, AL",AL,28/02/2023,22.4
Msa,"Daphne, AL",AL,28/02/2023,21.2
Msa,"Decatur, AL",AL,28/02/2023,17.7
Msa,"Dothan, AL",AL,28/02/2023,13.2
Msa,"Enterprise, AL",AL,28/02/2023,13.3
Msa,"Florence, AL",AL,28/02/2023,16.8
Msa,"Gadsden, AL",AL,28/02/2023,19.5
Msa,"Huntsville, AL",AL,28/02/2023,21.1
Msa,"Mobile, AL",AL,28/02/2023,17.3
Msa,"Montgomery, AL",AL,28/02/2023,14.8
Msa,"Ozark, AL",AL,28/02/2023,17.1
Msa,"Scottsboro, AL",AL,28/02/2023,17.1
Msa,"Selma, AL",AL,28/02/2023,14.4
Msa,"Talladega, AL",AL,28/02/2023,18.4
Msa,"Troy, AL",AL,28/02/2023,15.6
Msa,"Tuscaloosa, AL",AL,28/02/2023,15.3
Msa,"Valley, AL",AL,28/02/2023,16.8
Zip,"Moody, AL",AL,28/02/2023,12.8
Zip,35005,AL,28/02/2023,19
Zip,35006,AL,28/02/2023,17.7
Zip,35007,AL,28/02/2023,12.7
Zip,35014,AL,28/02/2023,15.7
Zip,35016,AL,28/02/2023,17.1
Zip,35019,AL,28/02/2023,17.9
Zip,35020,AL,28/02/2023,24.1
Zip,35022,AL,28/02/2023,17.3
Zip,35023,AL,28/02/2023,18
Zip,35031,AL,28/02/2023,8.9
Zip,35033,AL,28/02/2023,17
Zip,35034,AL,28/02/2023,14.6
Zip,35035,AL,28/02/2023,12.8
Zip,35040,AL,28/02/2023,13
Zip,35042,AL,28/02/2023,13.8
Zip,35043,AL,28/02/2023,12.4
Zip,35044,AL,28/02/2023,15.2
Zip,35045,AL,28/02/2023,10.7
Zip,35046,AL,28/02/2023,10.5
Zip,35049,AL,28/02/2023,8.5
Zip,35051,AL,28/02/2023,12.3
Zip,35053,AL,28/02/2023,15.7
Zip,35054,AL,28/02/2023,12.8
Zip,35055,AL,28/02/2023,18.7
Zip,35057,AL,28/02/2023,20.1
Zip,35058,AL,28/02/2023,18.5
Zip,35061,AL,28/02/2023,23.4
Zip,35062,AL,28/02/2023,16
Zip,35063,AL,28/02/2023,14
Zip,35064,AL,28/02/2023,20.2
Zip,35068,AL,28/02/2023,17.3
Zip,35071,AL,28/02/2023,17.3
Zip,35073,AL,28/02/2023,16.1
Zip,35077,AL,28/02/2023,20.6
Zip,35078,AL,28/02/2023,9.9
Zip,35079,AL,28/02/2023,8.9
Zip,35080,AL,28/02/2023,12.9
Zip,35083,AL,28/02/2023,18.2
Zip,35085,AL,28/02/2023,10.5
Zip,35087,AL,28/02/2023,16.3
Zip,35089,AL,28/02/2023,16.4
Zip,35091,AL,28/02/2023,16.6
Zip,35094,AL,28/02/2023,15.9
Zip,35096,AL,28/02/2023,15.6
Zip,35097,AL,28/02/2023,6.6
Zip,35098,AL,28/02/2023,21.9
Zip,35111,AL,28/02/2023,15.3
Zip,35114,AL,28/02/2023,12.3
Zip,35115,AL,28/02/2023,12.1
Zip,35116,AL,28/02/2023,17.4
Zip,35117,AL,28/02/2023,16.8
Zip,35118,AL,28/02/2023,17.4
Zip,35119,AL,28/02/2023,18.7
Zip,35120,AL,28/02/2023,12.7
Zip,35121,AL,28/02/2023,8.2
Zip,35124,AL,28/02/2023,12.6
Zip,35125,AL,28/02/2023,12.2
Zip,35126,AL,28/02/2023,17
Zip,35127,AL,28/02/2023,18.3
Zip,35128,AL,28/02/2023,13
Zip,35130,AL,28/02/2023,14.3
Zip,35131,AL,28/02/2023,12.9
Zip,35133,AL,28/02/2023,7.7
Zip,35135,AL,28/02/2023,13.9
Zip,35136,AL,28/02/2023,17.9
Zip,35143,AL,28/02/2023,13.2
Zip,35146,AL,28/02/2023,13.4
Zip,35147,AL,28/02/2023,13.2
Zip,35148,AL,28/02/2023,14.8
Zip,35149,AL,28/02/2023,18.2
Zip,35150,AL,28/02/2023,16.4
Zip,35151,AL,28/02/2023,15.9
Zip,35160,AL,28/02/2023,16.4
Zip,35171,AL,28/02/2023,10.7
Zip,35172,AL,28/02/2023,10.3
Zip,35173,AL,28/02/2023,16.3
Zip,35175,AL,28/02/2023,16
Zip,35176,AL,28/02/2023,14.3
Zip,35178,AL,28/02/2023,11.1
Zip,35179,AL,28/02/2023,20.6
Zip,35180,AL,28/02/2023,13.1
Zip,35183,AL,28/02/2023,15.7
Zip,35184,AL,28/02/2023,14.7
Zip,35186,AL,28/02/2023,13
Zip,35188,AL,28/02/2023,14.4
Zip,35203,AL,28/02/2023,17.4
Zip,35204,AL,28/02/2023,23.4
Zip,35205,AL,28/02/2023,17.7
Zip,35206,AL,28/02/2023,22.5
Zip,35207,AL,28/02/2023,17
