RegionID,SizeRank,RegionName,RegionType,StateName,State,Metro,CountyName,28/02/2021,31/03/2021,30/04/2021,31/05/2021,30/06/2021,31/07/2021,31/08/2021,30/09/2021,31/10/2021,30/11/2021,31/12/2021,31/01/2022,28/02/2022
23482,75,Anchorage,City,AK,AK,Anchorage,Anchorage Borough,354647,353324,352271,353745,353456,353010,355488,358711,361810,358288,356646,355787,362845
38465,798,Fairbanks,City,AK,AK,Fairbanks,Fairbanks North Star Borough,256805,256573,255663,253581,253145,253516,254507,252961,251364,250009,253277,253401,253933
36906,1916,Palmer,City,AK,AK,Anchorage,Matanuska Susitna Borough,277885,278950,279740,281074,282965,285376,286357,286220,285958,286085,286259,286297,286707
5365,2240,Juneau,City,AK,AK,Juneau,Juneau Borough,413809,416143,418720,421635,424203,426491,428606,430988,433132,435012,441844,448840,454446
29910,2431,North Pole,City,AK,AK,Fairbanks,Fairbanks North Star Borough,274643,274370,273465,271486,271152,271746,272767,270902,269006,267506,271329,271584,272181
395443,4365,Knik-Fairview,City,AK,AK,Anchorage,Matanuska Susitna Borough,259861,260794,261382,262060,263428,265556,266541,266463,265952,265797,265689,265517,266018
56812,4566,Soldotna,City,AK,AK,,Kenai Peninsula Borough,271192,272938,274810,276823,278908,280993,282793,284529,285986,287259,291814,296611,300799
52742,5097,Kenai,City,AK,AK,,Kenai Peninsula Borough,246372,247805,249515,251441,253500,255561,257212,258551,259694,260726,264969,269136,273513
39281,5148,Kodiak,City,AK,AK,,Kodiak Island Borough,364964,367445,369773,372953,375408,377628,379453,381519,383773,385295,391467,397027,402036
102387,5663,Meadow Lakes,City,AK,AK,Anchorage,Matanuska Susitna Borough,230450,231381,231986,232843,234533,236747,237775,237859,237614,237709,237606,237815,238348
48346,5876,Wasilla,City,AK,AK,Anchorage,Matanuska Susitna Borough,265767,266702,267410,268451,270081,272410,273361,273107,272513,272338,272280,272014,272353
102611,6291,Tanaina,City,AK,AK,Anchorage,Matanuska Susitna Borough,259413,260230,260851,261996,263805,266369,267265,266973,266289,266181,266239,265906,266200
32296,7950,Ketchikan,City,AK,AK,Ketchikan,Ketchikan Gateway Borough,325598,327447,329458,331993,333861,335492,336987,338885,340722,342154,347820,353377,358002
54367,8811,Seward,City,AK,AK,,Kenai Peninsula Borough,264731,266534,269087,271916,273991,276459,278354,280816,282365,283607,288056,293354,298387
21909,11099,Homer,City,AK,AK,,Kenai Peninsula Borough,296769,298781,302019,305080,308173,310790,313137,315405,316846,318101,322987,328714,331161
102155,15520,Diamond Ridge,City,AK,AK,,Kenai Peninsula Borough,263376,265840,268595,271081,272895,274431,276278,278132,279448,280343,284556,289681,296813
14660,15761,Willow,City,AK,AK,Anchorage,Matanuska Susitna Borough,153112,154525,154696,155502,156580,158745,159554,159904,159424,159003,157850,157750,158023
9330,15889,Talkeetna,City,AK,AK,Anchorage,Matanuska Susitna Borough,157819,159003,159710,160400,161336,162699,162602,161809,161581,162336,162466,163219,163997
50997,16107,Big Lake,City,AK,AK,Anchorage,Matanuska Susitna Borough,175098,175585,175615,176156,177899,180634,182480,181990,180703,178697,177070,176560,176300
7336,16989,Sutton,City,AK,AK,Anchorage,Matanuska Susitna Borough,158665,159067,158836,159592,161434,164447,166098,167398,168286,169547,170315,170548,170157
36537,17769,Salcha,City,AK,AK,Fairbanks,Fairbanks North Star Borough,171896,172495,173219,173727,174937,176582,177755,175675,172664,170040,171889,171932,172381
29803,18077,Sterling,City,AK,AK,,Kenai Peninsula Borough,275748,277324,279421,281782,284198,286289,287978,290022,291845,293412,297890,302684,306303
18620,19130,Hope,City,AK,AK,,Kenai Peninsula Borough,195786,195419,198847,201357,204322,207206,210028,211482,212506,213105,216884,219628,223884
6035,19130,Moose Pass,City,AK,AK,,Kenai Peninsula Borough,225404,226754,229732,231989,234391,236363,238177,239772,241138,242619,247006,251605,260802
4089,20490,Chiniak,City,AK,AK,,Kodiak Island Borough,,,,,,,,,,,,267569,267692
39929,20703,Nanwalek,City,AK,AK,,Kenai Peninsula Borough,214269,214763,215981,218680,221980,225134,227167,230054,233930,233334,235662,235286,236130
42899,20703,Port Graham,City,AK,AK,,Kenai Peninsula Borough,174879,175341,175908,178354,181168,186698,189363,193251,196401,196978,198064,195488,194399
54366,20703,Seldovia,City,AK,AK,,Kenai Peninsula Borough,205433,207353,210130,212412,215040,218031,220413,222522,223074,222280,223454,226495,232082
22092,20703,Halibut Cove,City,AK,AK,,Kenai Peninsula Borough,268001,269325,274909,279762,282387,283638,284336,286282,286248,286648,290046,295084,299523
28124,21482,Anchor Point,City,AK,AK,,Kenai Peninsula Borough,191699,193126,195171,197306,199633,202369,204341,206003,206868,207367,209879,212796,219381
102507,22679,Point MacKenzie,City,AK,AK,Anchorage,Matanuska Susitna Borough,175347,176040,175669,176557,177946,180859,184160,183577,182474,178828,178163,177856,178774
102210,23875,Fox River,City,AK,AK,,Kenai Peninsula Borough,254408,256604,261046,264007,265665,267225,268803,271524,273796,275717,278534,283385,289554
40023,23973,Ninilchik,City,AK,AK,,Kenai Peninsula Borough,174409,175816,178280,180253,182409,184640,186023,187635,188730,190073,192126,194702,197082
