period_end,region_type,state,property_type,median_sale_price,median_sale_price_mom,median_sale_price_yoy,median_list_price,median_list_price_mom,median_list_price_yoy,median_ppsf,median_ppsf_mom,median_ppsf_yoy,median_list_ppsf,median_list_ppsf_mom,median_list_ppsf_yoy,homes_sold,homes_sold_mom,homes_sold_yoy,pending_sales,new_listings,inventory,avg_sale_to_list,sold_above_list
31/01/2012,state,California,Single Family Residential,294500,-0.044106959,-0.034770786,305200,0.149008062,-0.004181246,187,-0.038656621,-0.044414849,196,0.125317062,-0.013674913,15195,-0.239755841,0.012527487,13833,23395,63480,0.979769638,0.258835143
31/01/2012,state,California,Townhouse,287600,-0.076209758,-0.109244364,358100,0.129872126,-0.042907411,215,-0.035069696,-0.081179146,236,0.105805979,-0.04398589,782,-0.285844749,0.016905072,750,1234,2980,0.977238304,0.245524297
31/01/2012,state,California,Condo/Co-op,223600,-0.026397376,-0.049091244,370300,0.150228212,-0.011453796,208,-0.036213651,-0.029277964,241,0.121258978,-0.024652063,3162,-0.222522744,0.018357488,2983,5068,13851,0.974045492,0.212839975
31/01/2012,state,California,All Residential,283900,-0.044711359,-0.032200313,318700,0.149774895,-0.010604003,191,-0.034067253,-0.039717948,206,0.125200483,-0.02089348,19958,-0.237720571,0.010480482,18306,31029,84286,0.97835536,0.251678525
31/01/2012,state,California,Multi-Family (2-4 Unit),323100,-0.061782851,0.041261016,326000,0.128295196,-0.024741156,157,0.018710867,0.110029673,218,0.106088202,-0.036955632,814,-0.203522505,-0.058959538,735,1320,3924,0.96957439,0.275184275
29/02/2012,state,California,Townhouse,296700,0.02948875,-0.058759521,377800,0.055288785,-0.00675071,215,0.013876165,-0.044614173,239,0.013774881,-0.035003593,902,0.156410256,0.225543478,945,1249,2753,0.980910869,0.243902439
29/02/2012,state,California,Condo/Co-op,225100,0.006668439,-0.051195181,390600,0.054930216,-0.000781501,210,0.022122387,-0.046401077,246,0.020196546,-0.020087738,3509,0.10974067,0.091785937,3443,4958,13077,0.973762579,0.226845255
29/02/2012,state,California,Multi-Family (2-4 Unit),342600,0.057687271,0.095597335,352200,0.079048205,0.012306954,159,-0.019469769,0.085797625,230,0.052241343,0.002202193,779,-0.038271605,-0.05,749,1277,3832,0.972898392,0.261874198
29/02/2012,state,California,All Residential,290100,0.021840825,-0.02025274,338200,0.060951981,0.00142429,194,0.022123986,-0.023731069,212,0.029337011,-0.015937132,21625,0.083688299,0.121861382,21243,30912,80714,0.979898107,0.260624277
29/02/2012,state,California,Single Family Residential,301800,0.024530415,-0.024231832,324300,0.06269198,0.004451224,193,0.027202184,-0.020470989,202,0.032250075,-0.011813323,16416,0.08056872,0.132137931,16092,23406,60966,0.981527112,0.268823099
31/03/2012,state,California,Townhouse,335800,0.132921178,-0.00333411,397800,0.053855265,0.057766179,239,0.107679892,-0.002726591,252,0.052234122,0.028885588,1178,0.304540421,0.106103286,1140,1356,2508,0.984202214,0.276740238
31/03/2012,state,California,Single Family Residential,320900,0.063566237,-0.012107365,334300,0.03081074,0.041397393,200,0.050682471,-0.00516883,208,0.026773935,0.018279564,21068,0.282991292,0.033048936,19784,25790,57464,0.98379052,0.281184735
31/03/2012,state,California,Multi-Family (2-4 Unit),350000,0.024984709,0.062844546,356700,0.013823562,0.033749661,166,0.0359333,0.10501982,231,0.006035607,0.010367633,1023,0.30651341,-0.040337711,1005,1376,3647,0.979099431,0.285434995
31/03/2012,state,California,All Residential,309100,0.065449374,-0.006911044,348500,0.030694353,0.039833627,202,0.050047404,-0.009972684,218,0.026881836,0.015896991,27723,0.281692094,0.031284875,26079,33794,75685,0.983042578,0.278180572
